,col1,col2,target
2023-01-30,0.40265259511302465,0.2615254038454583,0.6549700899470403
2023-01-31,0.9323024823663968,0.44928263935306123,0.6749029947223673
2023-02-01,0.0556218141257111,0.5334012094235603,0.30953270968304236
2023-02-02,0.2038902816496162,0.6603642535528614,0.09068147984998376
2023-02-03,0.7696081639423911,0.5856433461513991,0.757067998815188
2023-02-04,0.6371596702965419,0.5250009759521055,0.8027749235116991
2023-02-05,0.5630133883047752,0.8056956850455167,0.4256947230860437
2023-02-06,0.5778063383024415,0.44404744658941653,0.6649950983954488
2023-02-07,0.31927707084703605,0.9627371450134835,0.45908424209998755
2023-02-08,0.0375838887832296,0.464596716893251,0.6945280764169691
2023-02-09,0.2334699888857379,0.5440144976687338,0.39799305126650575
2023-02-10,0.8095455469929045,0.5578164967065211,0.17883591188033843
2023-02-11,0.33162182228787773,0.035230507470830674,0.02089301678331401
2023-02-12,0.37551893445220197,0.018970242651148106,0.5560627100415263
2023-02-13,0.7504005779264423,0.24332917330304837,0.6705560022528423
2023-02-14,0.6675786797476359,0.04293567671900733,0.21058169268252835
2023-02-15,0.24753500266779693,0.6228101482895366,0.5139666298903435
2023-02-16,0.1167283498353715,0.4167390426934835,0.3815790324414283
2023-02-17,0.03061593543700525,0.28739556137585176,0.31725811597730014
2023-02-18,0.4587115895778777,0.6398425929720026,0.7423052539058951
2023-02-19,0.9805443363925733,0.49465592216111165,0.6535987066868075
2023-02-20,0.08747052631440222,0.6984586586402359,0.20563061794816295
2023-02-21,0.16752880639307788,0.9661011007342452,0.06517130004772254
2023-02-22,0.7804181227602085,0.8233552663840379,0.8507689674662349
2023-02-23,0.5019008351351267,0.8070255331802616,0.9738675046723225
2023-02-24,0.6825921385465302,0.7349022093348802,0.11573295105465575
2023-02-25,0.2686196295141161,0.7743326563387903,0.6777230852285436
2023-02-26,0.5631714407225052,0.06823450967332767,0.8579548613677508
2023-02-27,0.31669234141611113,0.7365988849369083,0.2698222105856364
2023-02-28,0.4218096650899551,0.8588690153329985,0.46141912720736555
2023-03-01,0.7740925732155515,0.6207442592613986,0.4307724649886503
2023-03-02,0.6356076071519029,0.767787013111978,0.8204851546518986
2023-03-03,0.5711683754473273,0.060724458337150566,0.8283613306520411
2023-03-04,0.757843509569121,0.08025467195268399,0.8161438856106432
2023-03-05,0.8199022373365348,0.2783968076453113,0.8982945999367047
2023-03-06,0.30978139323650766,0.749844996452541,0.19923606789467097
2023-03-07,0.16493270107719027,0.9385300185536415,0.5385171318745474
2023-03-08,0.8580513017294314,0.9627231818800783,0.6542639169200927
2023-03-09,0.541755985076214,0.6861554898859317,0.6430258922773834
2023-03-10,0.2567829832398356,0.49489421593069927,0.11201173680493748
2023-03-11,0.36558738368648913,0.26664546499934594,0.8033213029390371
2023-03-12,0.9269522550392548,0.8334671954979673,0.804467875662241
2023-03-13,0.7684798687057542,0.3220344364700648,0.6224981159979993
2023-03-14,0.18718867530368277,0.1270751002506031,0.4671603314080457
2023-03-15,0.652177653609143,0.8978698188758772,0.14620993979949215
2023-03-16,0.3221109037225578,0.19616173355288313,0.5539591189033624
2023-03-17,0.624530617907444,0.7112649148436769,0.6747095135178272
2023-03-18,0.027767447634184705,0.12071703180045246,0.08409595998009567
2023-03-19,0.31375459041835074,0.9793549955866344,0.6600412930241748
2023-03-20,0.42600824365117174,0.20169348152694055,0.27598901366824635
2023-03-21,0.8338306237307266,0.9045866669484429,0.21621141042622027
2023-03-22,0.2501709577548863,0.07091287656592693,0.27064726234719827
2023-03-23,0.47272185671518885,0.047033841152636535,0.6982289089387971
2023-03-24,0.8912800934947362,0.47820201288331343,0.4900980118438223
2023-03-25,0.894597486973557,0.4740860567682297,0.456629912730085
2023-03-26,0.1462941345134563,0.8258984740037115,0.3287464895058271
2023-03-27,0.936949510714333,0.1998632510031929,0.6119988609445164
2023-03-28,0.3099414832818371,0.350344577028762,0.49094016189426226
2023-03-29,0.3033413868436535,0.011346152842783064,0.8625632296204664
2023-03-30,0.9177117502739386,0.9060203133941077,0.9830065236227621
2023-03-31,0.8919739790889144,0.6805134672689009,0.8934280211481728
2023-04-01,0.4200196337599198,0.7591646885868902,0.1215927946135199
2023-04-02,0.35053613432533415,0.8523624241184572,0.024163702423806055
2023-04-03,0.35842440697001166,0.42275302020865146,0.4910900448701274
2023-04-04,0.6612314122131719,0.14581910799511988,0.0652906684120298
2023-04-05,0.3588316708145325,0.2673173576455221,0.5506618981474344
2023-04-06,0.8691141073402476,0.5279402005752865,0.4412548690576551
2023-04-07,0.5224138828323821,0.31388025347597315,0.4642311734469934
2023-04-08,0.29161265907430234,0.5885680519127096,0.1912492919904406
2023-04-09,0.5229761150334933,0.27743460214447546,0.835845267262209
2023-04-10,0.6610829430925454,0.5202614611484424,0.8971339400598587
